,stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
146811,418783256,2015-08-14 04:00:00,3 More Taxi Medallion Foreclosures in New York City,http://www.thestreet.com/story/13206255/1/3-more-taxi-medallion-foreclosures-in-new-york-city.html,en,False,,21619,The Street,http://www.thestreet.com
158390,478760032,2015-09-29 04:59:00,Will Your State See a 40% Rise in Obamacare Premiums in '16?,https://www.thestreet.com/story/13304862/1/will-your-state-see-a-40-rise-in-Obamacare-premiums-in-16.html,en,False,,21619,The Street,http://www.thestreet.com
160093,508104905,2015-11-14 10:02:00,ISIS Paris Attack Will Test Democratic Presidential Candidates in Debate: 4 Questions,https://www.thestreet.com/story/13365580/1/isis-paris-attack-will-test-democratic-presidential-candidates-in-debate-4-questions.html,en,True,,21619,The Street,http://www.thestreet.com
162170,537234057,2015-05-20 12:06:00,"H&M Just Opened Its Largest Store Ever, and Macy's and Target Should Be Very Worried",https://www.thestreet.com/story/13157808/1/hm-just-opened-its-largest-store-ever-and-macys-and-target-should-be-very-worried.html,en,False,,21619,The Street,http://www.thestreet.com
162803,509823794,2015-09-15 07:12:00,The Backstory on Donald Trump's Four Bankruptcies,https://www.thestreet.com/story/13286068/3/the-backstory-on-donald-trump-s-four-bankruptcies.html,en,True,,21619,The Street,http://www.thestreet.com
164980,499715235,2015-10-28 09:00:26,"If Ted Cruz were president, here&rsquo;s what would happen to the U.S. economy",https://www.thestreet.com/story/13336423/1/if-ted-cruz-was-president-here-s-what-would-happen-to-the-u-s-economy.html,en,False,"politics and government, united states politics and government, elections, presidents and presidency (us), presidential elections (us), presidential election of 1988",21619,The Street,http://www.thestreet.com
165078,553301433,2015-12-01 03:55:00,Donald Trump Says ‘Happy Holidays’ on Black Friday but Skips Christmas,https://www.thestreet.com/story/13381214/1/donald-trump-says-happy-holidays-on-black-friday-but-skips-christmas.html?puc=stocktwits&cm_ven=STOCKTWITS&utm_source=dlvr.it&utm_medium=twitter,en,False,,21619,The Street,http://www.thestreet.com
165101,552278480,2015-10-27 07:15:00,Here's what Jeb Bush isn't talking about.,https://www.thestreet.com/story/13336656/1/if-jeb-bush-becomes-president-here-s-what-would-happen-to-the-u-s-economy.html,en,False,,21619,The Street,http://www.thestreet.com
165104,550974423,2015-10-16 02:10:00,"Jack Bogle: Trump Is Wrong, ETFs Are Bogus and Foreign Investing Is Useless",https://www.thestreet.com/story/13326091/1/jack-bogle-trump-is-wrong-etfs-are-bogus-and-foreign-investing-is-useless.html?utm_source=dlvr.it&utm_medium=twitter,en,False,,21619,The Street,http://www.thestreet.com
165139,549472839,2015-10-13 16:34:00,Donald Trump's Best #DemDebate Tweets,https://www.thestreet.com/story/13322973/1/donald-trump-s-best-democratic-debate-tweets.html,en,False,,21619,The Street,http://www.thestreet.com
165191,548900374,2015-06-10 10:45:00,Marco Rubio's Financial Stumbles Offer Lessons on What Not to Do,https://www.thestreet.com/story/13182286/1/marco-rubios-financial-stumbles-offer-lessons-on-what-not-to-do.html?cm_ven=RSSFeed,en,False,,21619,The Street,http://www.thestreet.com
165225,554084203,2015-12-07 09:54:00,Hillary Clinton Attacks GOP Lawmakers in Wall Street Op Ed for New York Times,https://www.thestreet.com/story/13388799/1/hillary-clinton-attacks-gop-lawmakers-in-wall-street-op-ed-for-new-york-times.html,en,False,,21619,The Street,http://www.thestreet.com
165268,547913244,2015-10-13 04:44:00,Hillary Clinton's top 3 proposals for the economy,https://www.thestreet.com/story/13319856/1/hillary-clinton-s-top-3-proposals-for-the-economy.html,en,False,,21619,The Street,http://www.thestreet.com
165295,548147589,2015-07-29 06:18:00,"Clinton Attacks Activist Funds, Calls for 6-Year Holding Period for Long-Term Capital Gains",https://www.thestreet.com/story/13235939/1/clinton-attacks-activist-funds-calls-for-6-year-holding-period-for-long-term-capital-gains.html?cm_ven=RSSFeed&utm_source=dlvr.it&utm_medium=twitter,en,False,,21619,The Street,http://www.thestreet.com
165332,553979118,2015-09-29 05:47:00,Trump's Tax Plan Is Dangerous: A Tiny Bit of Growth With a Crippling Price Tag,https://www.thestreet.com/story/13305076/1/trump-s-tax-plan-is-dangerous-a-tiny-bit-of-growth-with-a-crippling-price-tag.html,en,False,,21619,The Street,http://www.thestreet.com
165369,549138003,2015-10-24 06:32:00,Bernie Sanders' Brand of Socialism -- More Karl Marx or FDR?,https://www.thestreet.com/story/13326547/1/bernie-sanders-brand-of-socialism-more-karl-marx-or-fdr.html?utm_source=dlvr.it&utm_medium=twitter,en,False,,21619,The Street,http://www.thestreet.com
165373,548347052,2015-10-13 06:42:00,Democratic Debate Hot Topic: Bernie Sanders and Hillary Clinton Say Ban Private Prisons,https://www.thestreet.com/story/13292999/1/bernie-sanders-war-on-private-prisons-time-to-plot-an-escape.html?utm_content=buffer99279&utm_medium=social&utm_source=twitter.com&utm_campaign=eb,en,False,,21619,The Street,http://www.thestreet.com
